"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","released","runtime"
"665",1991,"FOREIGN LANGUAGE FILM",FALSE,"Raise the Red Lantern",0,"ERA International","China","Yimou Zhang","Drama",2603061,"PG","1991-12-18",125
"666",1991,"MAKEUP",FALSE,"Hook",7e+07,"Amblin Entertainment","USA","Steven Spielberg","Adventure",119654823,"PG","1991-12-11",142
"667",1991,"MAKEUP",FALSE,"Star Trek VI The Undiscovered Country",NA,NA,NA,NA,NA,NA,NA,NA,NA
"668",1991,"MAKEUP",TRUE,"Terminator 2: Judgment Day",1.02e+08,"Carolco Pictures","USA","James Cameron","Action",204843350,"R","1991-07-03",137
"669",1991,"MUSIC (Original Score)",TRUE,"Beauty and the Beast",2.5e+07,"Walt Disney Pictures","USA","Gary Trousdale","Animation",218967620,"G","1991-11-22",84
"670",1991,"MUSIC (Original Score)",FALSE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
"671",1991,"MUSIC (Original Score)",FALSE,"The Fisher King",2.4e+07,"TriStar Pictures","USA","Terry Gilliam","Comedy",41895491,"R","1991-09-27",137
"672",1991,"MUSIC (Original Score)",FALSE,"JFK",4e+07,"Warner Bros.","France","Oliver Stone","Drama",70405498,"R","1991-12-20",189
"673",1991,"MUSIC (Original Score)",FALSE,"The Prince of Tides",3e+07,"Columbia Pictures Corporation","USA","Barbra Streisand","Drama",74787599,"R","1991-12-25",132
"674",1991,"MUSIC (Original Song)",FALSE,"Hook",7e+07,"Amblin Entertainment","USA","Steven Spielberg","Adventure",119654823,"PG","1991-12-11",142
"675",1991,"MUSIC (Original Song)",FALSE,"Beauty and the Beast",2.5e+07,"Walt Disney Pictures","USA","Gary Trousdale","Animation",218967620,"G","1991-11-22",84
"676",1991,"MUSIC (Original Song)",TRUE,"Beauty and the Beast",2.5e+07,"Walt Disney Pictures","USA","Gary Trousdale","Animation",218967620,"G","1991-11-22",84
"677",1991,"MUSIC (Original Song)",FALSE,"Beauty and the Beast",2.5e+07,"Walt Disney Pictures","USA","Gary Trousdale","Animation",218967620,"G","1991-11-22",84
"678",1991,"MUSIC (Original Song)",FALSE,"Robin Hood: Prince of Thieves",4.8e+07,"Warner Bros.","USA","Kevin Reynolds","Action",165500000,"PG-13","1991-06-14",143
"679",1991,"BEST PICTURE",FALSE,"Beauty and the Beast",2.5e+07,"Walt Disney Pictures","USA","Gary Trousdale","Animation",218967620,"G","1991-11-22",84
"680",1991,"BEST PICTURE",FALSE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
