"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","released","runtime"
"546",1990,"MUSIC (Original Song)",FALSE,"Young Guns II",2e+07,"Morgan Creek Productions","USA","Geoff Murphy","Action",44143410,"PG-13","1990-08-01",104
"547",1990,"MUSIC (Original Song)",FALSE,"Postcards from the Edge",2.2e+07,"Columbia Pictures Corporation","USA","Mike Nichols","Comedy",37963281,"R","1990-09-14",101
"548",1990,"MUSIC (Original Song)",FALSE,"The Godfather, Part III",NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",1990,"MUSIC (Original Song)",FALSE,"Home Alone",1.8e+07,"Hughes Entertainment","USA","Chris Columbus","Comedy",285761243,"PG","1990-11-16",103
"550",1990,"MUSIC (Original Song)",TRUE,"Dick Tracy",4.7e+07,"Touchstone Pictures","USA","Warren Beatty","Action",103738726,"PG","1990-06-15",105
"551",1990,"BEST PICTURE",FALSE,"Awakenings",0,"Columbia Pictures Corporation","USA","Penny Marshall","Biography",52096475,"PG-13","1991-01-11",121
"552",1990,"BEST PICTURE",TRUE,"Dances With Wolves",NA,NA,NA,NA,NA,NA,NA,NA,NA
"553",1990,"BEST PICTURE",FALSE,"Ghost",2.2e+07,"Paramount Pictures","USA","Jerry Zucker","Drama",217631306,"PG-13","1990-07-13",127
"554",1990,"BEST PICTURE",FALSE,"The Godfather, Part III",NA,NA,NA,NA,NA,NA,NA,NA,NA
"555",1990,"BEST PICTURE",FALSE,"Good Fellas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"556",1990,"SHORT FILM (Animated)",TRUE,"Creature Comforts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"557",1990,"SHORT FILM (Animated)",FALSE,"A Grand Day Out",NA,NA,NA,NA,NA,NA,NA,NA,NA
"558",1990,"SHORT FILM (Animated)",FALSE,"Grasshoppers (Cavallette)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"559",1990,"SHORT FILM (Live Action)",FALSE,"Bronx Cheers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",1990,"SHORT FILM (Live Action)",FALSE,"Dear Rosie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"561",1990,"SHORT FILM (Live Action)",TRUE,"The Lunch Date",NA,NA,NA,NA,NA,NA,NA,NA,NA
"562",1990,"SHORT FILM (Live Action)",FALSE,"Senzeni Na? (What Have We Done?)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"563",1990,"SHORT FILM (Live Action)",FALSE,"12:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",1990,"SOUND",TRUE,"Dances With Wolves",NA,NA,NA,NA,NA,NA,NA,NA,NA
"565",1990,"SOUND",FALSE,"Days of Thunder",6e+07,"Don Simpson/Jerry Bruckheimer Films","USA","Tony Scott","Action",82670733,"PG-13","1990-06-27",107
